Sentence #,Word,Tag
,suffering,O
,from,O
,the,O
,disease,O
,",",O
,state,O
,records,O
,show,O
,.,O
Sentence: 11,Three,O
,of,O
,those,O
,patients,O
,were,O
,in,O
,Palm,B-geo
,Beach,I-geo
,County,I-geo
,",",O
,which,O
,officially,O
,didn't,O
,record,O
,its,O
,first,O
,two,O
,coronavirus,O
,cases,O
,until,O
,March,B-tim
,13,I-tim
,.,O
Sentence: 12,The,O
,county,O
,now,O
,has,O
,more,O
,than,O
,3,O
,",",O
,300,O
,cases,O
,.,O
Sentence: 13,Until,O
,Monday,O
,evening,O
,",",O
,when,O
,the,O
,state,O
,confirmed,O
,a,O
,coronavirus,O
,case,O
,",",O
,it,O
,publicly,O
,posted,O
,data,O
,on,O
,each,O
,case,O
,",",O
,without,O
,identifying,O
,the,O
,patient,O
,.,O
Sentence: 14,The,O
,publicly,O
,shared,O
,data,O
,included,O
,a,O
,date,O
,that,O
,represented,O
,one,O
,of,O
,two,O
,things,O
,when,O
,the,O
,patient,O
,first,O
,started,O
,feeling,O
,symptoms,O
,or,O
,when,O
,the,O
,patient,O
,received,O
,a,O
,positive,O
,test,O
,result,O
,.,O
Sentence: 15,It,O
,is,O
,not,O
,clear,O
,from,O
,the,O
,data,O
,how,O
,the,O
,state,O
,treated,O
,the,O
,patients,O
,or,O
,even,O
,when,O
,they,O
,found,O
,out,O
,about,O
,their,O
,symptoms,O
,.,O
Sentence: 16,No,O
,state,O
,officials,O
,could,O
,be,O
,reached,O
,for,O
,comment,O
,late,O
,Monday,O
,.,O
Sentence: 17,The,O
,entire,O
,dataset,O
,disappeared,O
,from,O
,the,O
,state,O
,website,O
,Monday,O
,evening,O
,only,O
,to,O
,return,O
,after,O
,7,O
,30,O
,p,O
,.,O
Sentence: 18,m,O
,.,O
Sentence: 19,without,O
,the,O
,column,O
,showing,O
,the,O
,date,O
,relating,O
,to,O
,symptoms,O
,.,O
Sentence: 20,An,O
,analysis,O
,of,O
,the,O
,state,O
,data,O
,",",O
,which,O
,has,O
,been,O
,downloaded,O
,and,O
,retained,O
,by,O
,The,O
,Post,O
,since,O
,the,O
,state,O
,started,O
,posting,O
,it,O
,in,O
,March,O
,",",O
,found,O
,these,O
,diverse,O
,early,O
,cases,O
,A,O
,4,O
,year,O
,old,O
,Duval,B-geo
,County,I-geo
,girl,O
,started,O
,feeling,O
,symptoms,O
,or,O
,had,O
,her,O
,first,O
,positive,O
,test,O
,on,O
,Jan,B-tim
,.,I-tim
,1,I-tim
,.,O
Sentence: 22,The,O
,state,O
,did,O
,not,O
,officially,O
,record,O
,her,O
,case,O
,until,O
,April,B-tim
,8,I-tim
,.,O
Sentence: 23,An,O
,84,O
,year,O
,old,O
,Palm,O
,Beach,O
,County,O
,man,O
,who,O
,had,O
,not,O
,traveled,O
,",",O
,but,O
,was,O
,hospitalized,O
,",",O
,had,O
,symptoms,O
,or,O
,a,O
,positive,O
,result,O
,on,O
,Feb,B-tim
,.,I-tim
,5,I-tim
,.,O
Sentence: 25,But,O
,his,O
,case,O
,was,O
,not,O
,added,O
,to,O
,Florida's,B-geo
,coronavirus,O
,tally,O
,until,O
,April,O
,3,O
,.,O
Sentence: 26,A,O
,48,O
,year,O
,old,O
,Palm,B-geo
,Beach,I-geo
,County,I-geo
,woman,O
,whose,O
,symptoms,O
,or,O
,positive,O
,test,O
,results,O
,were,O
,reported,O
,Feb,B-tim
,.,I-tim
,6,I-tim
,.,O
Sentence: 28,Her,O
,case,O
,was,O
,counted,O
,on,O
,Saturday,O
,.,O
Sentence: 29,A,O
,74,O
,year,O
,old,O
,Palm,O
,Beach,O
,County,O
,woman,O
,with,O
,symptoms,O
,or,O
,a,O
,positive,O
,result,O
,on,O
,Feb,B-tim
,.,I-tim
,23,I-tim
,",",O
,whose,O
,case,O
,was,O
,recorded,O
,by,O
,the,O
,state,O
,on,O
,April,B-tim
,4,I-tim
,.,O
Sentence: 31,She,O
,reported,O
,no,O
,out,O
,of,O
,state,O
,travel,O
,and,O
,she,O
,came,O
,into,O
,contact,O
,with,O
,someone,O
,carrying,O
,the,O
,virus,O
,.,O
Sentence: 32,A,O
,65,O
,year,O
,old,O
,man,O
,in,O
,Broward,O
,County,O
,who,O
,had,O
,traveled,O
,to,O
,the,O
,Cayman,B-geo
,Islands,I-geo
,listed,O
,symptoms,O
,or,O
,a,O
,positive,O
,test,O
,on,O
,Jan,B-tim
,.,I-tim
,4,I-tim
,but,O
,his,O
,case,O
,was,O
,not,O
,recorded,O
,until,O
,March,B-tim
,7,I-tim
,.,O
Sentence: 34,A,O
,30,O
,year,O
,old,O
,Broward,B-geo
,County,I-geo
,man,O
,",",O
,whose,O
,symptoms,O
,or,O
,first,O
,positive,O
,result,O
,came,O
,on,O
,Feb,B-tim
,.,I-tim
,25,I-tim
,",",O
,died,O
,.,O
Sentence: 36,His,O
,case,O
,was,O
,added,O
,March,B-tim
,15,I-tim
,.,O
Sentence: 37,A,O
,65,O
,year,O
,old,O
,man,O
,in,O
,Sarasota,B-geo
,County,I-geo
,who,O
,had,O
,traveled,O
,to,O
,California,O
,and,O
,came,O
,into,O
,contact,O
,with,O
,an,O
,infected,O
,person,O
,reported,O
,symptoms,O
,or,O
,had,O
,a,O
,positive,O
,result,O
,on,O
,Feb,B-tim
,.,I-tim
,23,I-tim
,.,O
Sentence: 39,State,O
,health,O
,officials,O
,added,O
,his,O
,case,O
,April,B-tim
,6,O
,.,O
Sentence: 40,Among,O
,the,O
,171,O
,patients,O
,were,O
,105,O
,women,O
,and,O
,66,O
,men,O
,.,O
Sentence: 41,They,O
,ranged,O
,in,O
,age,O
,from,O
,4,O
,to,O
,91,O
,.,O
Sentence: 42,Even,O
,though,O
,the,O
,disease,O
,was,O
,thought,O
,confined,O
,to,O
,China,O
,before,O
,January,O
,",",O
,most,O
,of,O
,the,O
,early,O
,patients,O
,hadn't,O
,traveled,O
,103,O
,reported,O
,no,O
,travel,O
,while,O
,just,O
,52,O
,said,O
,they,O
,had,O
,.,O
Sentence: 43,None,O
,reported,O
,traveling,O
,to,O
,China,B-geo
,.,O
Sentence: 44,Only,O
,six,O
,were,O
,not,O
,Florida,O
,residents,O
,.,O
Sentence: 45,Their,O
,symptoms,O
,or,O
,positive,O
,results,O
,started,O
,appearing,O
,in,O
,mid,O
,to,O
,late,O
,February,O
,.,O
Sentence: 46,The,O
,over,O
,the,O
,counter,O
,antacid,O
,Pepcid,O
,is,O
,trending,O
,online,O
,and,O
,it's,O
,not,O
,because,O
,we,O
,all,O
,have,O
,collective,O
,heartburn,O
,over,O
,the,O
,coronavirus,O
,epidemic,O
,.,O
Sentence: 47,News,O
,leaked,O
,earlier,O
,this,O
,week,O
,that,O
,a,O
,health,O
,network,O
,in,O
,New,B-geo
,York,I-geo
,City,I-geo
,was,O
,testing,O
,high,O
,intravenous,O
,doses,O
,of,O
,famotidine,O
,in,O
,COVID,O
,19,O
,patients,O
,",",O
,based,O
,on,O
,something,O
,an,O
,American,O
,infectious,O
,disease,O
,doctor,O
,working,O
,in,O
,China,O
,had,O
,reported,O
,.,O
Sentence: 48,There,O
,is,O
,so,O
,far,O
,no,O
,data,O
,supporting,O
,the,O
,theory,O
,",",O
,but,O
,that,O
,hasn't,O
,stopped,O
,it,O
,from,O
,taking,O
,on,O
,a,O
,life,O
,of,O
,its,O
,own,O
,online,O
,.,O
Sentence: 49,"""",O
,Unfortunately,O
,",",O
,there's,O
,sometimes,O
,all,O
,this,O
,buzz,O
,up,O
,front,O
,because,O
,of,O
,some,O
,test,O
,tube,O
,findings,O
,or,O
,something,O
,along,O
,those,O
,lines,O
,",",O
,but,O
,it,O
,doesn't,O
,end,O
,up,O
,bearing,O
,out,O
,in,O
,patients,O
,",",O
,"""",O
,said,O
,Jim,O
,Lewis,O
,",",O
,clinical,O
,supervisor,O
,for,O
,infectious,O
,disease,O
,in,O
,the,O
,department,O
,of,O
,pharmacy,O
,services,O
,at,O
,Oregon,O
,Health,O
,&,O
,Science,O
,University,O
,in,O
,Portland,B-geo
,",",O
,Oregon,B-geo
,.,O
Sentence: 50,Coronavirus,O
,is,O
,'shaining,O
,a,O
,bright,O
,light',O
,on,O
,the,O
,ills,O
,of,O
,poverty,O
,What,O
,now,O
,?,O
,"""",O
,We,O
,can't,O
,reiterate,O
,strong,O
,enough,O
,to,O
,absolutely,O
,not,O
,take,O
,this,O
,drug,O
,without,O
,talking,O
,to,O
,your,O
,health,O
,care,O
,provider,O
,first,O
,",",O
,"""",O
,he,O
,said,O
,.,O
Sentence: 51,Famotidine,O
,",",O
,sold,O
,as,O
,Pepcid,O
,",",O
,is,O
,used,O
,to,O
,treat,O
,excess,O
,stomach,O
,acid,O
,by,O
,blocking,O
,H2,O
,receptors,O
,on,O
,the,O
,surface,O
,of,O
,the,O
,stomach,O
,cells,O
,that,O
,release,O
,acid,O
,.,O
Sentence: 52,The,O
,idea,O
,came,O
,from,O
,something,O
,Michael,O
,Callahan,O
,",",O
,an,O
,infectious,O
,disease,O
,doctor,O
,at,O
,Massachusetts,O
,General,O
,Hospital,O
,",",O
,saw,O
,when,O
,he,O
,was,O
,working,O
,in,O
,the,O
,Chinese,O
,city,O
,of,O
,Wuhan,B-geo
,just,O
,as,O
,the,O
,coronavirus,O
,epidemic,O
,began,O
,to,O
,take,O
,off,O
,there,O
,.,O
Sentence: 53,Doctors,O
,noticed,O
,many,O
,of,O
,the,O
,people,O
,surviving,O
,COVID,O
,19,O
,tended,O
,to,O
,be,O
,poorer,O
,",",O
,he,O
,told,O
,a,O
,reporter,O
,with,O
,the,O
,journal,O
,Science,O
,in,O
,an,O
,article,O
,published,O
,in,O
,its,O
,news,O
,section,O
,Sunday,O
,.,O
Sentence: 54,They,O
,noticed,O
,that,O
,many,O
,of,O
,the,O
,survivors,O
,had,O
,chronic,O
,heartburn,O
,and,O
,took,O
,famotidine,O
,rather,O
,than,O
,omeprazole,O
,",",O
,sold,O
,in,O
,the,O
,United,O
,States,O
,as,O
,Prilosec,O
,",",O
,which,O
,is,O
,much,O
,more,O
,expensive,O
,.,O
Sentence: 55,The,O
,Chinese,O
,doctors,O
,looked,O
,at,O
,more,O
,than,O
,6,O
,",",O
,000,O
,patients,O
,and,O
,found,O
,a,O
,slightly,O
,higher,O
,number,O
,of,O
,those,O
,taking,O
,famotidine,O
,recovered,O
,than,O
,those,O
,who,O
,didn't,O
,take,O
,the,O
,medicine,O
,.,O
Sentence: 56,The,O
,number,O
,wasn't,O
,high,O
,enough,O
,to,O
,be,O
,statistically,O
,significant,O
,",",O
,meaning,O
,it,O
,could,O
,just,O
,as,O
,easily,O
,be,O
,attributed,O
,to,O
,chance,O
,.,O
Sentence: 57,To,O
,find,O
,out,O
,if,O
,it,O
,was,O
,meaningful,O
,",",O
,Callahan,O
,contacted,O
,Kevin,O
,Tracey,O
,at,O
,Northwell,O
,Health,O
,in,O
,New,B-geo
,York,I-geo
,City,I-geo
,.,O
Sentence: 58,Partly,O
,funded,O
,by,O
,the,O
,U,O
,.,O
Sentence: 59,S,O
,.,O
Sentence: 60,Biomedical,O
,Advanced,O
,Research,O
,and,O
,Development,O
,Authority,O
,",",O
,a,O
,double,O
,blind,O
,randomized,O
,study,O
,was,O
,launched,O
,on,O
,April,B-tim
,14,O
,",",O
,according,O
,to,O
,Science,O
,.,O
Sentence: 61,'Our,O
,moon,O
,shot',O
,The,O
,world,O
,needs,O
,a,O
,coronavirus,O
,vaccine,O
,ASAP,O
,.,O
Sentence: 62,Despite,O
,drugmakers,O
,billion,O
,dollar,O
,bets,O
,",",O
,one,O
,might,O
,not,O
,be,O
,available,O
,for,O
,years,O
,.,O
Sentence: 63,Their,O
,working,O
,theory,O
,is,O
,that,O
,famotidine,O
,might,O
,bind,O
,to,O
,a,O
,protein,O
,that,O
,helps,O
,the,O
,SARS,O
,CoV,O
,2,O
,virus,O
,reproduce,O
,.,O
Sentence: 64,Lewis,O
,noted,O
,that,O
,the,O
,targeting,O
,mechanism,O
,could,O
,be,O
,similar,O
,to,O
,some,O
,HIV,O
,medications,O
,which,O
,have,O
,also,O
,been,O
,tried,O
,on,O
,COVID,O
,19,O
,but,O
,unfortunately,O
,were,O
,not,O
,effective,O
,.,O
Sentence: 65,The,O
,patients,O
,in,O
,the,O
,study,O
,are,O
,being,O
,given,O
,an,O
,IV,O
,dose,O
,of,O
,famotidine,O
,nine,O
,times,O
,more,O
,than,O
,the,O
,dose,O
,people,O
,take,O
,for,O
,heartburn,O
,.,O
Sentence: 66,Famotidine,O
,can,O
,cause,O
,heart,O
,problems,O
,in,O
,people,O
,with,O
,decreased,O
,kidney,O
,function,O
,so,O
,they,O
,were,O
,excluded,O
,from,O
,the,O
,study,O
,.,O
Sentence: 67,Because,O
,so,O
,many,O
,patients,O
,at,O
,Northwell,O
,Health,O
,were,O
,also,O
,being,O
,treated,O
,with,O
,hydroxychloroquine,O
,",",O
,an,O
,anti,O
,inflammatory,O
,drug,O
,that,O
,also,O
,has,O
,not,O
,been,O
,proven,O
,to,O
,be,O
,an,O
,effective,O
,treatment,O
,for,O
,COVID,O
,19,O
,",",O
,they,O
,were,O
,only,O
,able,O
,to,O
,test,O
,a,O
,combination,O
,of,O
,the,O
,two,O
,drugs,O
,.,O
Sentence: 68,It,O
,was,O
,not,O
,a,O
,controlled,O
,study,O
,",",O
,meaning,O
,one,O
,group,O
,of,O
,patients,O
,receives,O
,a,O
,drug,O
,and,O
,a,O
,similar,O
,group,O
,does,O
,not,O
,.,O
Sentence: 69,That,O
,makes,O
,it,O
,very,O
,difficult,O
,to,O
,know,O
,if,O
,the,O
,patients,O
,would,O
,have,O
,gotten,O
,better,O
,without,O
,the,O
,drug,O
,.,O
Sentence: 70,When,O
,will,O
,a,O
,second,O
,wave,O
,of,O
,coronavirus,O
,hit,O
,in,O
,US,O
,?,O
,What,O
,what,O
,will,O
,it,O
,look,O
,like,O
,?,O
,Instead,O
,",",O
,the,O
,researchers,O
,plan,O
,to,O
,compare,O
,the,O
,patients,O
,getting,O
,the,O
,drugs,O
,with,O
,patients,O
,treated,O
,earlier,O
,in,O
,the,O
,outbreak,O
,.,O
Sentence: 71,Northwell's,O
,Tracey,O
,told,O
,Science,O
,",",O
,"""",O
,Is,O
,it,O
,good,O
,science,O
,?,O
,No,O
,.,O
Sentence: 72,It's,O
,the,O
,real,O
,world,O
,.,O
Sentence: 73,"""",O
,Doctors,O
,caution,O
,that,O
,most,O
,COVID,O
,19,O
,patients,O
,recover,O
,despite,O
,there,O
,being,O
,no,O
,approved,O
,treatments,O
,.,O
Sentence: 74,Currently,O
,",",O
,death,O
,rates,O
,for,O
,COVID,O
,19,O
,patients,O
,hospitalized,O
,with,O
,serious,O
,symptoms,O
,appear,O
,to,O
,be,O
,between,O
,5,O
,and,O
,10,O
,%,O
,",",O
,so,O
,the,O
,majority,O
,of,O
,patients,O
,will,O
,get,O
,better,O
,on,O
,their,O
,own,O
,",",O
,said,O
,Adarsh,O
,Bhimraj,O
,",",O
,an,O
,infectious,O
,diseases,O
,physician,O
,at,O
,Cleveland,O
,Clinic,O
,.,O
Sentence: 75,It's,O
,too,O
,easy,O
,for,O
,clinicians,O
,to,O
,presume,O
,if,O
,a,O
,patient,O
,gets,O
,better,O
,"""",O
,it's,O
,because,O
,of,O
,the,O
,medication,O
,we,O
,gave,O
,them,O
,",",O
,and,O
,if,O
,they,O
,don't,O
,get,O
,better,O
,we,O
,presume,O
,it's,O
,because,O
,of,O
,the,O
,disease,O
,",",O
,"""",O
,Bhimraj,O
,said,O
,.,O
Sentence: 76,The,O
,lack,O
,of,O
,data,O
,makes,O
,it,O
,impossible,O
,to,O
,know,O
,if,O
,famotidine,O
,has,O
,any,O
,actual,O
,effect,O
,on,O
,COVID,O
,19,O
,patients,O
,.,O
Sentence: 77,As,O
,scientists,O
,like,O
,to,O
,say,O
,",",O
,"""",O
,Correlation,O
,is,O
,not,O
,causation,O
,.,O
Sentence: 78,"""",O
,That,O
,means,O
,that,O
,just,O
,because,O
,two,O
,things,O
,tend,O
,to,O
,happen,O
,together,O
,",",O
,one,O
,does,O
,not,O
,cause,O
,the,O
,other,O
,.,O
Sentence: 79,It,O
,could,O
,be,O
,that,O
,the,O
,Chinese,O
,peasants,O
,got,O
,better,O
,in,O
,higher,O
,numbers,O
,because,O
,they're,O
,more,O
,physically,O
,fit,O
,or,O
,they,O
,drank,O
,less,O
,or,O
,more,O
,alcohol,O
,or,O
,they,O
,spent,O
,more,O
,time,O
,out,O
,of,O
,doors,O
,and,O
,therefore,O
,had,O
,higher,O
,levels,O
,of,O
,Vitamin,O
,D,O
,from,O
,sunlight,O
,.,O
Sentence: 80,Or,O
,it,O
,could,O
,be,O
,that,O
,famotidine,O
,does,O
,in,O
,fact,O
,help,O
,treat,O
,COVID,O
,19,O
,.,O
Sentence: 81,Until,O
,scientifically,O
,valid,O
,data,O
,from,O
,a,O
,well,O
,designed,O
,clinical,O
,study,O
,is,O
,available,O
,",",O
,it,O
,is,O
,impossible,O
,to,O
,know,O
,.,O
Sentence: 82,John,O
,Scott,O
,",",O
,chair,O
,of,O
,the,O
,department,O
,of,O
,pharmacology,O
,at,O
,the,O
,University,O
,of,O
,Washington,O
,School,O
,of,O
,Medicine,O
,said,O
,he,O
,had,O
,no,O
,idea,O
,why,O
,or,O
,how,O
,this,O
,particular,O
,H2,O
,blocker,O
,is,O
,supposed,O
,to,O
,work,O
,against,O
,COVID,O
,19,O
,",",O
,but,O
,the,O
,researchers,O
,appear,O
,to,O
,be,O
,applying,O
,the,O
,proper,O
,scientific,O
,principals,O
,.,O
Sentence: 83,"""",O
,The,O
,fact,O
,that,O
,the,O
,authors,O
,acknowledge,O
,that,O
,the,O
,results,O
,are,O
,not,O
,yet,O
,statistically,O
,significant,O
,suggests,O
,that,O
,they,O
,are,O
,taking,O
,a,O
,rational,O
,and,O
,empirical,O
,approach,O
,to,O
,their,O
,analyses,O
,",",O
,"""",O
,he,O
,said,O
,.,O
Sentence: 84,A,O
,drug,O
,being,O
,developed,O
,to,O
,treat,O
,COVID,O
,19,O
,",",O
,the,O
,disease,O
,caused,O
,by,O
,new,O
,coronavirus,O
,",",O
,is,O
,reportedly,O
,showing,O
,some,O
,promise,O
,but,O
,there's,O
,no,O
,guarantee,O
,initial,O
,reports,O
,will,O
,lead,O
,to,O
,a,O
,commercially,O
,available,O
,treatment,O
,.,O
Sentence: 85,Experts,O
,have,O
,been,O
,racing,O
,to,O
,find,O
,a,O
,treatment,O
,for,O
,the,O
,illness,O
,that's,O
,killed,O
,more,O
,than,O
,60,O
,",",O
,000,O
,Americans,O
,and,O
,sickened,O
,more,O
,than,O
,1,O
,million,O
,.,O
Sentence: 86,The,O
,experimental,O
,drug,O
,remdesivir,O
,has,O
,emerged,O
,as,O
,the,O
,first,O
,possible,O
,scientifically,O
,proven,O
,treatment,O
,.,O
Sentence: 87,Early,O
,data,O
,from,O
,a,O
,global,O
,study,O
,released,O
,Wednesday,B-tim
,found,O
,patients,O
,given,O
,remdesivir,O
,recovered,O
,faster,O
,and,O
,may,O
,be,O
,less,O
,likely,O
,to,O
,die,O
,.,O
Sentence: 88,However,O
,",",O
,another,O
,study,O
,published,O
,the,O
,same,O
,day,O
,in,O
,the,O
,British,O
,medical,O
,journal,O
,The,O
,Lancet,O
,found,O
,no,O
,clinical,O
,benefits,O
,to,O
,the,O
,drug,O
,.,O
Sentence: 89,Here's,O
,what,O
,we,O
,know,O
,about,O
,the,O
,drug,O
,Remdesivir,O
,",",O
,pronounced,O
,rem,O
,dees,O
,ih,O
,veer,O
,",",O
,is,O
,an,O
,experimental,O
,antiviral,O
,drug,O
,from,O
,the,O
,American,O
,biotech,O
,firm,O
,Gilead,O
,Sciences,O
,.,O
Sentence: 90,It,O
,was,O
,originally,O
,tested,O
,as,O
,a,O
,treatment,O
,for,O
,Ebola,O
,and,O
,other,O
,coronaviruses,O
,including,O
,SARS,O
,and,O
,is,O
,now,O
,being,O
,tested,O
,as,O
,a,O
,possible,O
,COVID,O
,19,O
,treatment,O
,.,O
Sentence: 91,The,O
,drug,O
,impairs,O
,the,O
,ability,O
,of,O
,the,O
,virus,O
,to,O
,replicate,O
,",",O
,according,O
,to,O
,John,O
,Scott,O
,",",O
,chair,O
,of,O
,the,O
,department,O
,of,O
,pharmacology,O
,at,O
,the,O
,University,O
,of,O
,Washington,O
,School,O
,of,O
,Medicine,O
,.,O
Sentence: 92,"""",O
,You're,O
,decreasing,O
,the,O
,degree,O
,of,O
,infection,O
,so,O
,the,O
,immune,O
,system,O
,can,O
,fight,O
,.,O
Sentence: 93,It's,O
,like,O
,taking,O
,fuel,O
,away,O
,from,O
,the,O
,fire,O
,",",O
,"""",O
,he,O
,said,O
,.,O
Sentence: 94,Dr,O
,.,O
Sentence: 95,Aneesh,O
,Mehta,O
,",",O
,lead,O
,investigator,O
,for,O
,the,O
,portion,O
,of,O
,the,O
,remdesivir,O
,trial,O
,at,O
,Emory,O
,University,O
,in,O
,Atlanta,B-geo
,",",O
,stressed,O
,the,O
,drug,O
,and,O
,other,O
,antivirals,O
,are,O
,not,O
,"""",O
,silver,O
,bullets,O
,"""",O
,that,O
,immediately,O
,get,O
,rid,O
,of,O
,an,O
,infection,O
,and,O
,the,O
,damage,O
,doesn't,O
,just,O
,"""",O
,all,O
,go,O
,away,O
,"""",O
,when,O
,the,O
,virus,O
,is,O
,gone,O
,.,O
Sentence: 96,Remdesivir,O
,has,O
,not,O
,been,O
,approved,O
,anywhere,O
,for,O
,any,O
,use,O
,",",O
,according,O
,to,O
,Gilead,O
,",",O
,but,O
,is,O
,being,O
,given,O
,to,O
,patients,O
,in,O
,six,O
,clinical,O
,trials,O
,to,O
,determine,O
,if,O
,it,O
,is,O
,an,O
,effective,O
,and,O
,safe,O
,treatment,O
,for,O
,coronavirus,O
,.,O
Sentence: 97,Outside,O
,of,O
,clinical,O
,trials,O
,",",O
,Gilead,O
,also,O
,has,O
,implemented,O
,programs,O
,that,O
,provide,O
,emergency,O
,treatment,O
,access,O
,for,O
,children,O
,and,O
,pregnant,O
,women,O
,with,O
,severe,O
,symptoms,O
,of,O
,COVID,O
,19,O
,and,O
,is,O
,trying,O
,to,O
,expand,O
,emergency,O
,access,O
,beyond,O
,these,O
,two,O
,groups,O
,.,O
Sentence: 98,Early,O
,results,O
,released,O
,Wednesday,B-tim
,from,O
,the,O
,global,O
,study,O
,conducted,O
,by,O
,the,O
,U,O
,.,O
Sentence: 99,S,O
,.,O
Sentence: 100,National,O
,Institute,O
,of,O
,Allergy,O
,and,O
,Infectious,O
,Diseases,O
,found,O
,patients,O
,who,O
,received,O
,remdesivir,O
,had,O
,a,O
,31,O
,%,O
,faster,O
,recovery,O
,time,O
,than,O
,those,O
,who,O
,received,O
,a,O
,placebo,O
,.,O
Sentence: 101,While,O
,not,O
,a,O
,"""",O
,knock,O
,out,O
,",",O
,"""",O
,NIAID,O
,director,O
,Dr,O
,.,O
Sentence: 102,Anthony,O
,Fauci,O
,said,O
,at,O
,an,O
,Oval,O
,Office,O
,meeting,O
,Wednesday,B-tim
,the,O
,study,O
,results,O
,were,O
,"""",O
,a,O
,very,O
,important,O
,proof,O
,of,O
,concept,O
,.,O
Sentence: 103,"""",O
,Study,O
,Remdesivir,O
,appears,O
,to,O
,speed,O
,recovery,O
,times,O
,in,O
,hospitalized,O
,COVID,O
,19,O
,patients,O
,The,O
,NIAID,O
,study,O
,involved,O
,1,O
,",",O
,063,O
,hospitalized,O
,COVID,O
,19,O
,patients,O
,whose,O
,lungs,O
,were,O
,affected,O
,.,O
Sentence: 104,A,O
,subset,O
,of,O
,about,O
,half,O
,those,O
,patients,O
,who,O
,got,O
,remdisivir,O
,had,O
,a,O
,median,O
,recovery,O
,time,O
,of,O
,11,O
,days,O
,while,O
,patients,O
,who,O
,got,O
,a,O
,placebo,O
,had,O
,a,O
,median,O
,recovery,O
,time,O
,of,O
,15,O
,days,O
,.,O
Sentence: 105,Recovery,O
,was,O
,defined,O
,as,O
,being,O
,well,O
,enough,O
,to,O
,be,O
,discharged,O
,from,O
,the,O
,hospital,O
,or,O
,able,O
,to,O
,return,O
,to,O
,normal,O
,levels,O
,of,O
,activity,O
,.,O
Sentence: 106,The,O
,patients,O
,given,O
,remdesivir,O
,also,O
,had,O
,a,O
,lower,O
,mortality,O
,rate,O
,8,O
,%,O
,of,O
,them,O
,died,O
,compared,O
,with,O
,11,O
,.,O
Sentence: 107,6,O
,%,O
,of,O
,the,O
,placebo,O
,group,O
,.,O
Sentence: 108,But,O
,researchers,O
,said,O
,we,O
,don't,O
,have,O
,enough,O
,data,O
,to,O
,know,O
,if,O
,that,O
,number,O
,is,O
,statistically,O
,significant,O
,.,O
Sentence: 109,A,O
,randomized,O
,",",O
,double,O
,blind,O
,",",O
,placebo,O
,controlled,O
,trial,O
,at,O
,10,O
,hospitals,O
,in,O
,Wuhan,B-geo
,",",O
,China,B-geo
,",",O
,found,O
,no,O
,statistically,O
,significant,O
,difference,O
,in,O
,how,O
,quickly,O
,patients,O
,improved,O
,",",O
,according,O
,to,O
,the,O
,study,O
,published,O
,in,O
,The,O
,Lancet,O
,.,O
Sentence: 110,Though,O
,a,O
,higher,O
,number,O
,of,O
